curve,n,snr_db,epsilon,rate_bits
Shannon capacity,200,0.0,1e-12,0.5
Shannon capacity,200,0.0,2.87298e-12,0.5
Shannon capacity,200,0.0,8.25404e-12,0.5
Shannon capacity,200,0.0,2.37137e-11,0.5
Shannon capacity,200,0.0,6.81292e-11,0.5
Shannon capacity,200,0.0,1.95734e-10,0.5
Shannon capacity,200,0.0,5.62341e-10,0.5
Shannon capacity,200,0.0,1.6156e-09,0.5
Shannon capacity,200,0.0,4.64159e-09,0.5
Shannon capacity,200,0.0,1.33352e-08,0.5
Shannon capacity,200,0.0,3.83119e-08,0.5
Shannon capacity,200,0.0,1.10069e-07,0.5
Shannon capacity,200,0.0,3.16228e-07,0.5
Shannon capacity,200,0.0,9.08518e-07,0.5
Shannon capacity,200,0.0,2.61016e-06,0.5
Shannon capacity,200,0.0,7.49894e-06,0.5
Shannon capacity,200,0.0,2.15443e-05,0.5
Shannon capacity,200,0.0,6.18966e-05,0.5
Shannon capacity,200,0.0,0.000177828,0.5
Shannon capacity,200,0.0,0.000510897,0.5
Shannon capacity,200,0.0,0.0014678,0.5
Shannon capacity,200,0.0,0.00421697,0.5
Shannon capacity,200,0.0,0.0121153,0.5
Shannon capacity,200,0.0,0.034807,0.5
Shannon capacity,200,0.0,0.1,0.5
NCT converse (ours),200,0.0,1e-12,0.166376
NCT converse (ours),200,0.0,2.87298e-12,0.172103
NCT converse (ours),200,0.0,8.25404e-12,0.178039
NCT converse (ours),200,0.0,2.37137e-11,0.184197
NCT converse (ours),200,0.0,6.81292e-11,0.19059
NCT converse (ours),200,0.0,1.95734e-10,0.197237
NCT converse (ours),200,0.0,5.62341e-10,0.204155
NCT converse (ours),200,0.0,1.6156e-09,0.211364
NCT converse (ours),200,0.0,4.64159e-09,0.21889
NCT converse (ours),200,0.0,1.33352e-08,0.226759
NCT converse (ours),200,0.0,3.83119e-08,0.235002
NCT converse (ours),200,0.0,1.10069e-07,0.243657
NCT converse (ours),200,0.0,3.16228e-07,0.252767
NCT converse (ours),200,0.0,9.08518e-07,0.262383
NCT converse (ours),200,0.0,2.61016e-06,0.272568
NCT converse (ours),200,0.0,7.49894e-06,0.283398
NCT converse (ours),200,0.0,2.15443e-05,0.294967
NCT converse (ours),200,0.0,6.18966e-05,0.307397
NCT converse (ours),200,0.0,0.000177828,0.320843
NCT converse (ours),200,0.0,0.000510897,0.335518
NCT converse (ours),200,0.0,0.0014678,0.351714
NCT converse (ours),200,0.0,0.00421697,0.369862
NCT converse (ours),200,0.0,0.0121153,0.390636
NCT converse (ours),200,0.0,0.034807,0.415199
NCT converse (ours),200,0.0,0.1,0.445883
RCU+ achievable (ours),200,0.0,1.95734e-10,0
