curve,epsilon,n,snr_db,rate_bits
Shannon capacity,1e-06,200,-4,0.241737
Shannon capacity,1e-06,200,-3.36842,0.273194
Shannon capacity,1e-06,200,-2.73684,0.307941
Shannon capacity,1e-06,200,-2.10526,0.346146
Shannon capacity,1e-06,200,-1.47368,0.387946
Shannon capacity,1e-06,200,-0.842105,0.43345
Shannon capacity,1e-06,200,-0.210526,0.482728
Shannon capacity,1e-06,200,0.421053,0.535815
Shannon capacity,1e-06,200,1.05263,0.592703
Shannon capacity,1e-06,200,1.68421,0.653347
Shannon capacity,1e-06,200,2.31579,0.717662
Shannon capacity,1e-06,200,2.94737,0.78553
Shannon capacity,1e-06,200,3.57895,0.856802
Shannon capacity,1e-06,200,4.21053,0.931305
Shannon capacity,1e-06,200,4.84211,1.00885
Shannon capacity,1e-06,200,5.47368,1.08923
Shannon capacity,1e-06,200,6.10526,1.17224
Shannon capacity,1e-06,200,6.73684,1.25765
Shannon capacity,1e-06,200,7.36842,1.34528
Shannon capacity,1e-06,200,8,1.43489
NCT converse (ours),1e-06,200,-4,0.074394
NCT converse (ours),1e-06,200,-3.36842,0.093761
NCT converse (ours),1e-06,200,-2.73684,0.116649
NCT converse (ours),1e-06,200,-2.10526,0.143369
NCT converse (ours),1e-06,200,-1.47368,0.174196
NCT converse (ours),1e-06,200,-0.842105,0.209361
NCT converse (ours),1e-06,200,-0.210526,0.249036
NCT converse (ours),1e-06,200,0.421053,0.29333
NCT converse (ours),1e-06,200,1.05263,0.342283
NCT converse (ours),1e-06,200,1.68421,0.395866
NCT converse (ours),1e-06,200,2.31579,0.453981
NCT converse (ours),1e-06,200,2.94737,0.516476
NCT converse (ours),1e-06,200,3.57895,0.583144
NCT converse (ours),1e-06,200,4.21053,0.653744
NCT converse (ours),1e-06,200,4.84211,0.728006
NCT converse (ours),1e-06,200,5.47368,0.805644
NCT converse (ours),1e-06,200,6.10526,0.886367
NCT converse (ours),1e-06,200,6.73684,0.969888
NCT converse (ours),1e-06,200,7.36842,1.05593
NCT converse (ours),1e-06,200,8,1.14422
$\chi^2$ converse (Polyanskiy),1e-06,200,-4,0.0787268
$\chi^2$ converse (Polyanskiy),1e-06,200,-3.36842,0.0985823
$\chi^2$ converse (Polyanskiy),1e-06,200,-2.73684,0.121911
$\chi^2$ converse (Polyanskiy),1e-06,200,-2.10526,0.149003
$\chi^2$ converse (Polyanskiy),1e-06,200,-1.47368,0.180114
$\chi^2$ converse (Polyanskiy),1e-06,200,-0.842105,0.215461
$\chi^2$ converse (Polyanskiy),1e-06,200,-0.210526,0.255209
$\chi^2$ converse (Polyanskiy),1e-06,200,0.421053,0.299465
$\chi^2$ converse (Polyanskiy),1e-06,200,1.05263,0.348276
$\chi^2$ converse (Polyanskiy),1e-06,200,1.68421,0.401627
$\chi^2$ converse (Polyanskiy),1e-06,200,2.31579,0.459442
$\chi^2$ converse (Polyanskiy),1e-06,200,2.94737,0.521589
$\chi^2$ converse (Polyanskiy),1e-06,200,3.57895,0.587889
$\chi^2$ converse (Polyanskiy),1e-06,200,4.21053,0.658123
$\chi^2$ converse (Polyanskiy),1e-06,200,4.84211,0.732044
$\chi^2$ converse (Polyanskiy),1e-06,200,5.47368,0.809383
$\chi^2$ converse (Polyanskiy),1e-06,200,6.10526,0.889863
$\chi^2$ converse (Polyanskiy),1e-06,200,6.73684,0.973205
$\chi^2$ converse (Polyanskiy),1e-06,200,7.36842,1.05913
$\chi^2$ converse (Polyanskiy),1e-06,200,8,1.14739
RCU$^+$ achievable (ours),1e-06,200,-4,0.0568216
RCU$^+$ achievable (ours),1e-06,200,-3.36842,0.0778076
RCU$^+$ achievable (ours),1e-06,200,-2.73684,0.101947
RCU$^+$ achievable (ours),1e-06,200,-2.10526,0.129632
RCU$^+$ achievable (ours),1e-06,200,-1.47368,0.161208
RCU$^+$ achievable (ours),1e-06,200,-0.842105,0.196955
RCU$^+$ achievable (ours),1e-06,200,-0.210526,0.237087
RCU$^+$ achievable (ours),1e-06,200,0.421053,0.28174
RCU$^+$ achievable (ours),1e-06,200,1.05263,0.330978
RCU$^+$ achievable (ours),1e-06,200,1.68421,0.384786
RCU$^+$ achievable (ours),1e-06,200,2.31579,0.44308
RCU$^+$ achievable (ours),1e-06,200,2.94737,0.505717
RCU$^+$ achievable (ours),1e-06,200,3.57895,0.572498
RCU$^+$ achievable (ours),1e-06,200,4.21053,0.643187
RCU$^+$ achievable (ours),1e-06,200,4.84211,0.717519
RCU$^+$ achievable (ours),1e-06,200,5.47368,0.795212
RCU$^+$ achievable (ours),1e-06,200,6.10526,0.875979
RCU$^+$ achievable (ours),1e-06,200,6.73684,0.959533
RCU$^+$ achievable (ours),1e-06,200,7.36842,1.0456
RCU$^+$ achievable (ours),1e-06,200,8,1.13391
Gallager achievable,1e-06,200,-4,0.0176759
Gallager achievable,1e-06,200,-3.36842,0.0371172
Gallager achievable,1e-06,200,-2.73684,0.0592238
Gallager achievable,1e-06,200,-2.10526,0.0843392
Gallager achievable,1e-06,200,-1.47368,0.112733
Gallager achievable,1e-06,200,-0.842105,0.144765
Gallager achievable,1e-06,200,-0.210526,0.180669
Gallager achievable,1e-06,200,0.421053,0.220945
Gallager achievable,1e-06,200,1.05263,0.266181
Gallager achievable,1e-06,200,1.68421,0.316385
Gallager achievable,1e-06,200,2.31579,0.371534
Gallager achievable,1e-06,200,2.94737,0.431408
Gallager achievable,1e-06,200,3.57895,0.495861
Gallager achievable,1e-06,200,4.21053,0.564558
Gallager achievable,1e-06,200,4.84211,0.637242
Gallager achievable,1e-06,200,5.47368,0.71361
Gallager achievable,1e-06,200,6.10526,0.79332
Gallager achievable,1e-06,200,6.73684,0.876075
Gallager achievable,1e-06,200,7.36842,0.961497
Gallager achievable,1e-06,200,8,1.04946
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-4,-0.0297001
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-3.36842,-0.0104148
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-2.73684,0.0123659
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-2.10526,0.0389293
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-1.47368,0.0695296
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-0.842105,0.10438
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,-0.210526,0.143652
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,0.421053,0.187438
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,1.05263,0.235795
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,1.68421,0.288692
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,2.31579,0.346069
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,2.94737,0.407778
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,3.57895,0.473638
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,4.21053,0.543438
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,4.84211,0.616925
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,5.47368,0.693827
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,6.10526,0.773867
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,6.73684,0.856764
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,7.36842,0.942244
$\kappa\beta$ achievable (PPV-faithful),1e-06,200,8,1.03004
Normal approximation,1e-06,200,-4,0.021215
Normal approximation,1e-06,200,-3.36842,0.0424091
Normal approximation,1e-06,200,-2.73684,0.067224
Normal approximation,1e-06,200,-2.10526,0.0959199
Normal approximation,1e-06,200,-1.47368,0.128723
Normal approximation,1e-06,200,-0.842105,0.165814
Normal approximation,1e-06,200,-0.210526,0.207326
Normal approximation,1e-06,200,0.421053,0.253333
Normal approximation,1e-06,200,1.05263,0.303851
Normal approximation,1e-06,200,1.68421,0.358835
Normal approximation,1e-06,200,2.31579,0.418186
Normal approximation,1e-06,200,2.94737,0.481756
Normal approximation,1e-06,200,3.57895,0.549351
Normal approximation,1e-06,200,4.21053,0.620746
Normal approximation,1e-06,200,4.84211,0.695692
Normal approximation,1e-06,200,5.47368,0.773924
Normal approximation,1e-06,200,6.10526,0.855171
Normal approximation,1e-06,200,6.73684,0.939163
Normal approximation,1e-06,200,7.36842,1.02564
Normal approximation,1e-06,200,8,1.11434
