curve,n,rate_bits,epsilon,snr_db
Gallager achievable (avg err),500,0.2,1e-08,-1.06748
Gallager achievable (avg err),500,0.2,2.48163e-08,-1.13521
Gallager achievable (avg err),500,0.2,6.15848e-08,-1.20483
Gallager achievable (avg err),500,0.2,1.52831e-07,-1.27682
Gallager achievable (avg err),500,0.2,3.79269e-07,-1.35138
Gallager achievable (avg err),500,0.2,9.41205e-07,-1.42879
Gallager achievable (avg err),500,0.2,2.33572e-06,-1.50836
Gallager achievable (avg err),500,0.2,5.79639e-06,-1.59207
Gallager achievable (avg err),500,0.2,1.43845e-05,-1.67876
Gallager achievable (avg err),500,0.2,3.5697e-05,-1.76945
Gallager achievable (avg err),500,0.2,8.85867e-05,-1.86483
Gallager achievable (avg err),500,0.2,0.000219839,-1.96511
Gallager achievable (avg err),500,0.2,0.000545559,-2.07121
Gallager achievable (avg err),500,0.2,0.00135388,-2.18398
Gallager achievable (avg err),500,0.2,0.00335982,-2.30422
Gallager achievable (avg err),500,0.2,0.00833782,-2.43364
Gallager achievable (avg err),500,0.2,0.0206914,-2.57468
Gallager achievable (avg err),500,0.2,0.0513483,-2.72921
Gallager achievable (avg err),500,0.2,0.127427,-2.90253
Gallager achievable (avg err),500,0.2,0.316228,-3.10055
Normal approximation,500,0.2,1e-08,-1.29094
Normal approximation,500,0.2,2.48163e-08,-1.38942
Normal approximation,500,0.2,6.15848e-08,-1.49147
Normal approximation,500,0.2,1.52831e-07,-1.5974
Normal approximation,500,0.2,3.79269e-07,-1.70757
Normal approximation,500,0.2,9.41205e-07,-1.82243
Normal approximation,500,0.2,2.33572e-06,-1.94246
Normal approximation,500,0.2,5.79639e-06,-2.06826
Normal approximation,500,0.2,1.43845e-05,-2.20056
Normal approximation,500,0.2,3.5697e-05,-2.34009
Normal approximation,500,0.2,8.85867e-05,-2.48852
Normal approximation,500,0.2,0.000219839,-2.64637
Normal approximation,500,0.2,0.000545559,-2.81588
Normal approximation,500,0.2,0.00135388,-2.99939
Normal approximation,500,0.2,0.00335982,-3.20037
Normal approximation,500,0.2,0.00833782,-3.42293
Normal approximation,500,0.2,0.0206914,-3.67531
Normal approximation,500,0.2,0.0513483,-3.9697
Normal approximation,500,0.2,0.127427,-4.33091
Normal approximation,500,0.2,0.316228,-4.82194
